Institution,Date Submitted,Last Updated,Liason Email,Version,Status,Does the institution have policies and/or guidelines in place to improve outdoor air quality and ...,A brief description of the policies and/or guidelines to improve outdoor air quality and minimize ...,Has the institution completed an inventory of significant air emissions from stationary sources on ...,A brief description of the methodology(ies) the institution used to complete its air emissions ...,Weight of the following categories of air emissions from stationary sources:,Nitrogen oxides (NOx) emissions,Sulfur oxides (SOx) emissions,Carbon monoxide (CO) emissions,Particulate matter (PM) emissions,Ozone (O3) emissions,Lead (Pb) emissions,Hazardous air pollutants (HAPs) emissions,Ozone-depleting compounds (ODCs) emissions,Other standard categories of air emissions identified in permits and/or regulations,A brief description of the institution’s initiatives to minimize air pollutant emissions from ...,"The website URL where information about the institution’s outdoor air quality policies, guidelines ...",Public Notes
Vanderbilt University,2016-03-21,2016-03-21 10:46:06,andrea.george@vanderbilt.edu,2.0,Pursuing,True,"Vanderbilt University has a policy prohibiting Plant Operations vehicles from idling. Plant Operations’ vehicles make up the majority of the “on campus fleet” and therefore are the most likely candidates to idle while on campus. Vanderbilt’s campus is not driver friendly, has few roads that go through campus, and allows very few vehicles to drive on the campus aside from the Plant Operations vehicles. All Plant Operations vehicles were recently outfitted with Geotab GPS tracking systems which report idling time and route performance and optimization back to VU management.",True,Vanderbilt keeps a daily log of its fuel use and energy production and utilizes EPA’s AP-42 emission factors to determine the institution’s annual air emissions.  Vanderbilt also generates an annual comprehensive Greenhouse Gas Inventory by utilizing EPA emission factors and tools provided by Clean Air-Cool Planet’s Campus Carbon Calculator.  ,**,444.4,843.8,152.8,32.9,--,--,--,--,21.4,"Vanderbilt University currently has an on-campus co-generation, natural gas power plant which produces 23% of our electricity and 100% of our steam servicing 5.8 million square feet of building space.  This steam is then used for 90% of campus heating and 40% of campus cooling. This cogeneration process is quite efficient: heat, which would otherwise be a wasted byproduct of electricity and steam generation, is used to produce more steam and hot water.  The remaining 77% of electricity consumed at Vanderbilt is purchased directly from Nashville Electric Service from Tennessee Valley Authority (TVA).
In Fall 2013, Vanderbilt University began the conversion of its co-generation power plant from coal and gas fuel to all-natural gas, and the plant burned its last shipment of coal on November, 19, 2014. The power plant, which now runs on 100% natural gas, will continue to meet the power needs of the University and Medical Center, but in a more environmentally sustainable way. This conversion increased operational efficiency, reduced greenhouse gas emissions, air pollutant emissions and noise pollution, and eliminated associated fuel use and emissions from trucking coal to the power plant. 
Vanderbilt also has removed emergency generators, downsized the University’s fleet of vehicles, added all-electric vehicles to the fleet, and added high-efficiency boilers in building renovations.

",--,"Other standard categories of air emissions identified in permits and/or regulations:
VOCs: 10.7 Tons
SAM: 10.7 Tons
"
Vassar College,2016-03-10,2016-03-10 19:47:24,alihall@vassar.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Villanova University,2016-03-21,2016-03-21 13:11:27,liesel.schwarz@villanova.edu,2.0,Pursuing,True,"There is signage around the athletic facilities to discourage visitors from leaving their vehicle running while not moving. Large bus loads of people would come to the athletic facilities for games and other events and leave their engines running, the signage is a result of this practice. ",True,Our steam plant manager and Environmental Health and Safety Director takes measurements of all state required emissions to report back to the DOE. ,**,15.0,4.7,1.9,0.8,--,7e-05,1.1,--,--,The university looks to reduce the use of #6 fuel in the boilers to only when we are curtailed from gas. We also completed the EPA required Boiler MACT assessment in 2014,--,We do not collect data on Ozone and ODCs. 
Virginia Commonwealth University,2015-07-24,2015-07-24 09:33:06,eestanforth@vcu.edu,2.0,Pursuing,True,"VCU hired our 1st Full-Time Fleet Manager in August, 2013 to focus on minimizing air pollutant emissions from our equipment and vehicles that are utilized for maintenance and transportation. Our Fleet Manager has been working with the Virginia Clean Cities Commission to reduce air pollutant emissions. We have 86 vehicles that are E85 Flex Fuel vehicles, making up 31% of our fleet. We also power (4) of our self-propelled zero turn lawnmowers with propane. www.vacleancities.org.",True,Mike Risely Energy Manager provided the 2014 DEQ 2014 Emission report for the steam plant operations at VCU.,**,28.99,1.69,38.04,3.16,--,--,--,4.93,0.99,VCU conducts continuous emissions monitoring at our main MCV Steam Plant. We complete energy audits to verify steam production is at the optimim level to meet demand. New boilers were installed on the Monroe Park Campus that utilize computer controlled burners that continuosuly adjust fuel and air mixtures to maintain optimum efficiency and reduce fuel usage.,--,--
Warren Wilson College,2016-03-21,2016-03-21 15:29:59,aclimo@warren-wilson.edu,2.0,Pursuing,--,,--,,**,--,--,--,--,--,--,--,--,--,,--,--
Wartburg College,2015-04-27,2015-04-27 09:08:07,anne.duncan@wartburg.edu,2.0,Not Pursuing,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Washington State University, Pullman",2016-03-25,2016-03-25 18:58:38,slkane@wsu.edu,2.0,Pursuing,--,,True,Testing with a third party contractor in conjunction with the Air Operating Permit.,**,10.9,0.6,0.9,6.7,--,--,1.4,0.34,--,"The EH&S Outdoor Air Quality Program monitors WSU’s compliance with the laws and regulations as promulgated in the Federal Clean Air Act.  EH&S works with the Washington State Department of Ecology (DOE) and Environmental Protection Agency to help ensure that all applicable federal, state and local regulations regarding stationary air emission sources are met on WSU property.",http://ehs.wsu.edu/ph/airquality.html,--
Washington University in St. Louis,2016-02-29,2016-02-29 19:42:02,valko@wustl.edu,2.0,Pursuing,True,"Washington University has a no idling policy, smoke-free campuses, a clean-burning lawn care fleet that is powered by propane, and three delivery vehicles that run on biodiesel.",--,The Environmental Health and Safety Department at the University monitors and reports emissions as required by federal and state regulatory agencies.,**,--,--,--,--,--,--,--,--,--,"As part of the University's efforts to reduce greenhouse gas emissions, Washington University has replaced and retrofit a number of campus boilers to significantly enhance efficiency and reduce emissions. The university has also installed a series of heat recovery chillers that capture waste heat from the chilling process for summer reheat. The heat recovery chillers have allowed the University to significantly reduce natural gas combustion.",http://news.wustl.edu/news/Pages/14114.aspx,--
Weber State University,2016-01-13,2016-01-13 14:17:01,jenniferbodine@weber.edu,2.0,In Progress,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wellesley College,2016-01-12,2016-01-12 12:03:29,pwilloug@wellesley.edu,2.0,Pursuing,True,We have largely implemented the 1998 landscape master plan which gives premise to pedestrian over the automobile. We also enforce an anti-idling policy for vehicles on campus as according to Massachusetts state law. We also have a free bike share and encourage the members of our community to bike or walk whenever possible.,True,We monitor air pollutants as part of our GHG emissions inventory which includes stationary sources such as our power plant (CHP) and emergency generators. A significant amount of work has also occurred on our emergency generators to reduce emissions and/or make sure the stack locations and heights limits emissions enetering buildings. Other air pollutants are checked periodically in according with Massachusetts DEP guidelines.,**,0.06,--,25736.7,--,--,--,--,0.142,2.43,"The college performs routine maintenance on all of it's stationary emitters to make sure they run efficiently, producing fewer emissions. Required stack work, which in some cases uses scrubbers, is performed on all of our emergency generators as mandated by the Massachusetts Department of Environmental Protection.  ",http://www.wellesley.edu/safety/programs/air_quality_indoor,The numbers enter above as -0- is due to a lack of information and does not represent zero emissions for theses categories. 
Wells College,2016-02-26,2016-02-26 16:59:33,mbrown@wells.edu,2.0,Pursuing,True,"Wells College Facilities and Mail Services groups have adopted an anti-idling policy for college-owned vehicles and equipment that allows for no longer than 5 minutes of idling time, except for specific exemptions.  

Wells College is also governed by New York State Department of Environmental Conservation's Heavy Duty Vehicle Idling Law, which prohibits heavy duty vehicles, including diesel trucks and buses, from idling for more than five minutes at a time.
Exceptions are when a vehicle is:
 - Stuck in traffic
 - Idling for maintenance purposes
 - Powering an auxiliary function or apparatus, such as a concrete tumbler
 - Involved in an emergency situation
 - A diesel fueled truck operating in an ambient air temperature below 25°F for more than 2 hours
The diesel idling regulation is found in Title 6 NYCRR, Subpart 217-3 and will be enforced by DEC Conservation Officers. Those found out of compliance may be fined from $500 to $18,000 in the case of a first violation.

",--,,**,--,--,--,--,--,--,--,--,--,,--,--
Western Michigan University,2016-02-24,2016-02-24 12:21:33,jeffrey.spoelstra@wmich.edu,2.0,Pursuing,True,"Western Michigan University's Mission Statement includes:

To advance responsible environmental stewardship

One way of doing this is by reducing pollution and conserving fuel.

It is expected that all university vehicles will be turned off if they are idle for more than five minutes. There are times when diesel powered engines may be exempt from this policy such as when temperatures or special situations require them to stay on longer. This will be an infrequent event and should be the exception rather than the rule.

http://www.fm.wmich.edu/operations/transportation/garage_services
",True,"Emissions numbers come from our Michigan Air Emission Reporting System report to the Michigan Department of Environmental Quality. Fuel usage or hours of operation for the previous year are entered along with emission factors into the on-line annual reporting system, which calculates the tons of each pollutant for the calendar year. Included in the WMU data are the stationary devices in our air permits. This includes boilers, emergency generators, turbines, cold cleaners, and printing/paper presses.
 
The Federal Clean Air Act requires that each state maintain an inventory of air pollution emissions for certain facilities and update this inventory every year.  Michigan's emission inventory is the Michigan Air Emissions Reporting System (MAERS).  The Michigan Department of Environmental Quality, Air Quality Division (AQD) maintains MAERS reports for commercial, industrial and governmental sources of air pollution in Michigan.  Emissions data is submitted to the United States Environmental Protection Agency (U.S. EPA) to be added to the national data bank.  This information is used to track air pollution trends, determine the effectiveness of current air pollution control programs, serve as a basis for future year projections of air quality, track source compliance, provide information for permit review and calculate the emissions portion of the air quality fee.

Individual units, and or service providers, track refrigerants added to mechanical systems and units can query that data using our maintenance database.",**,54.2,1.7,14.1,4.5,--,--,--,0.48404,4.6,"The University converted the existing 50,000 ton/year coal fired power plant previously owned and operated by another entity to a natural gas fired cogen plant when it transferred to WMU in 1994.  WMU strives to reduce overall natural gas use and therefore emissions through various energy conservation initiatives both at the power plant and on campus.  Recent initiatives (last 3 years) include boiler blowdown system improvements;  boiler wet layup system enhancements; feedwater control system upgrades; variable speed control on a number of pumps and fans in the plant; and reductions in various parasitic steam and electric loads in the plant.",http://www.fm.wmich.edu/operations/power_plant1,"PM=PM10
Data are from calendar year 2012. ODCs from FY13.
""Other standard categories..."" = VOCs
http://www.fm.wmich.edu/ap/dashboard/"
